,ID,제목,가수,가사,predicted_emotion_mbert
10,36910957,Perfect Night,LE SSERAFIM (르세라핌),"Me and my girliesWe gon party til its earlyGot me feeling otherworldly tonightCaught in some trafficBut the radio is blastingDrop a red light and we’ll sing it goodbyeOohBy the morning, feel like magicI got all I need you know nothing else can beatThe way that I feel when I’m dancing with my girlsPerfect energy yeah we flawless yeah we freeThere’s no better feeling in the whole wide worldTonightI don’t care what’s wrong or rightDon’t start blowing up my lineI’d care at 11:59But nothing counts after midnightCome and take a ride with meI got a credit card and some good companySome come throughMake the fit real goodWhy you still stuck on loadingWaiting on you babeOohNight to morning, live slow motionI got all I need you know nothing else can beatThe way that I feel when I’m dancing with my girlsPerfect energy yeah we flawless yeah we freeThere’s no better feeling in the whole wide worldTonightI don’t care what’s wrong or rightDon’t start blowing up my lineI’d care at 11:59But nothing counts after midnightOohBy the morning, feel like magicI got all I need you know nothing else can beatThe way that I feel when I’m dancing with my girlsPerfect energy yeah we flawless yeah we freeThere’s no better feeling in the whole wide worldTonightI don't care what’s wrong or rightDon’t start blowing up my lineI’d care at 11:59Don’t start blowing up my line",긍정
11,36699489,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),날 사랑해서 떠난다며눈물짓던 그대의 말을 믿을 수 없죠하지만 나의 전부였던그대가 힘들어하기에 잡을 수 없었죠온통 너와의 기억뿐인나를 위해서였다면조금씩 무너져가는 날날 위한다면이대로 내 곁에 있어야 해요나를 떠나면 안 돼요세상의 모든 걸 잃어도 괜찮아요그대만 있다면 그대만 있다면함께 웃던 시간들을함께했던 약속들을지금 또 영원히 기억하겠어요다시 한번 생각해요무엇이 날 위한 건지그대는 알고 있어요영원히 내 곁을 지켜주세요나를 떠나지 말아요세상의 모든 걸 잃어도 난 좋아요그대만 있다면 그대만 있다면온통 그대의 생각뿐인나를 위해서였다면초라하게 쓰러지는 날날 위한다면이대로 내 곁에 있어야 해요나를 떠나면 안 돼요세상의 모든 걸 잃어도 괜찮아요그대만 있다면 그대만 있다면영원히 내 곁을 지켜주세요나를 떠나지 말아요세상의 모든 걸 잃어도 난 좋아요그대만 있다면 그대만 있다면,긍정
12,34061322,사랑은 늘 도망가,임영웅,눈물이 난다 이 길을 걸으면그 사람 손길이 자꾸 생각이 난다붙잡지 못하고 가슴만 떨었지내 아름답던 사람아사랑이란 게 참 쓰린 거더라잡으려 할수록 더 멀어지더라이별이란 게 참 쉬운 거더라내 잊지 못할 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데바람이 분다 옷깃을 세워도차가운 이별의 눈물이 차올라잊지 못해서 가슴에 사무친내 소중했던 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데기다림도 애태움도 다 버려야 하는데무얼 찾아 이 길을 서성일까무얼 찾아 여기 있나사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데잠시 쉬어가면 좋을 텐데,긍정
13,37229123,관객이 될게 (I stan U),아이유,"사소한 틈새의 one milli그게 널 다르게 만들지잔뜩 찡그려 웃는 버릇이나자주 고르는 단어 하나하나모두 바라보게 만들어널 숨기지 마 Don't be silly때때로 넌 자신 없어 하지만그 수줍음조차 그저 좋아 난흐리거나, 시리도록 맑을(손에 닿거나, 아득히 멀어질)네 모든 날들의 어느 열렬한관객이 될게난 나의 너를 믿어You're stunning, so stunningGo on 이 느낌 이어가Ballad, Disco, Hip-Hop상관없어 너 끌리는 대로 해좋아 그건 또 그대로I'm stanning, just stanningYou, I trust my you가, 너만의 승리를 이뤄I'm stanning, just stanning you오늘도 스치듯 그 말이날 쉬게 하는 걸 아는지스르르 기분 좋은 웃음이 나또 어떻게든 파고들어 와 넌어둡거나, 눈부시게 밝을(소란하거나, 아득히 고요할)그 모든 날들의 어느 열렬한관객이 될게난 나의 너를 믿어You're stunning, so stunningGo on 이 느낌 이어가Ballad, Disco, Hip-Hop상관없어 너 끌리는 대로 해Oh 좋아 그건 또 그대로I'm stanning, just stanning you막이 오르는 순간조금 철이 없길 바라놀아 어린아이처럼다 숨죽인 무대 한가운데에서그저 넌 너답게 웃어줘, 날아줘넌 너의 나를 믿어You're stunning, so stunningGo on 노래를 이어가Country, Classic, Lo-Fi상관없어 너 끌리는 대로 해Oh 좋아 그건 또 그대로I'm stanning, just stanningYou, I trust my you가, 너만의 승리를 이뤄I'm stanning, just stanning you",부정
14,37138464,Super Lady,(여자)아이들,"I am the top, super lady (Oh)I never lose yeah(’Cause got a super power)I am a god, super lady (Oh)I NEVER DIE 봤지? 모두 FollowBoy boy boy 거기 비켜 어서우린 Love love love 따위 하긴 바빠여긴 War war war 자비 따윈 없어날 막는다면 Slay it (Lock it)남자들의 뻔한 가식 (Drop it)억 소리 나는 그 사치영웅은 조금의 흔들릴 틈 없이Ready to shoot입술이 다 번져도그 어떤 놈보다 멋지게(누구보다 멋지게)웃어 보이지 더 거칠게독하다 해 That’s my nameI never bow on my wayLady ladyCall me ‘Super Lady’Lady ladyFollow, ladiesOnward, ladiesSuper ladies하나 둘 셋Mama said 넌 언젠가 세상을 망칠 악그 겁에 질린 눈빛도 참 못됐으니까그 눈빛은 패왕색 패기 여왕의 자질 The Baddie100이면 100이 다 기절한 각성에 겁먹은 Devil그래 뵈는 게 없거든 Do you know?불길이 다 번져도그 어떤 놈보다 멋지게(누구보다 멋지게)뛰어들 테지 더 뜨겁게독하다 해 That’s my nameI never bow on my wayLady ladyCall me ‘Super Lady’Lady ladyFollow, ladiesOnward, ladiesSuper ladiesLet’s go on fearlessWe came to take a winBack it up (Oh)Back it up (Oh-oh)Back it up (Oh)Back it upEverybody say누가 우릴 부른다면 Yes sir, super fast누가 우릴 막는다면 Yes sir, supernatural누가 봐도 우린 Yes, stronger than SupermanYes sir, I got super powerYes sir, I’m a",부정
15,37225604,EASY,LE SSERAFIM (르세라핌),"다친대도 길을 걸어 kiss me쉽지 않음 내가 쉽게 easyStage 위엔 불이 튀어, 내 bodyPull up and I rip it up like balletDamn, I really make it look easyYuh know that I make it look easyClap your hands, 너도 나와 같다면 clap your hands now의구심 따윈 그냥 치워, 그냥 말해 “I’m the real one”조명 꺼진 뒤의 난 wander in the nightDon’t know what is right, don’t know ‘bout my rights시기심, 의심, 불신, 이젠 friends of me, yuh세상에게 난 반쪽짜리 seraphim, yuhUhm I’ve been tryin’ so long to show you show you show youI’m the one that you need다친대도 길을 걸어 kiss me쉽지 않음 내가 쉽게 easyStage 위엔 불이 튀어, 내 bodyPull up and I rip it up like balletDamn, I really make it look easyYuh know that I make it look easyYah know that I make it look easy수면 위의 백조가 돼 whippin’때론 풀려, 나의 다리 but I keep itGet, set, go, come and see me, I’m the FEARLESS나의 발걸음은 매 순간 history, 이건 my way영웅처럼 걸어 even if I am not flawless편하게만 왔다고?날 몰라봤다면 you have to knowUhm I’ve been tryin’ so long to show you show you show youI’m the one that you need다친대도 길을 걸어 kiss me쉽지 않음 내가 쉽게 easyStage 위엔 불이 튀어, 내 bodyPull up and I rip it up like balletDamn, I really make it look easyYuh know that I make it look easy",부정
16,36956630,Drama,aespa,"Ya Ya I’m the DramaZiggy ziggy zag I’m new'Cause I go biggie biggie bad It’s true날카로운 눈 안에 비친 Toxic내 본능을 당겨 ZoomHold up, What? Oh my godYou say, What? 다쳐 넌You better watch out우린 이미 거센 Boom달려가고 있어 VroomI li-li like me when I rollLi-li-like me when I’m savageLi-li-like me when I goLi-li-likie when I baddestHold up 빛을 따라서달아 다 다 달려나가 RunGo Finally Ra ta ta ta다음 세계를 열어 난1, 2 It’s time to go후회 없어 난맞서 난 깨버렸지날 따라서 움직일 Rules손끝으로 세상을 두드려 움직여Yeah I’m comingI bring I bringall the Drama-ma-ma-maI bring Drama-ma-ma-maWith my girls in the backGirls in the backDramaTrauma-ma-ma-maI break Trauma-ma-ma-maWith MY WORLD in the back나로 시작되는 Drama(All that)Drama-ma-ma-ma(Bring it that)Drama-ma-ma-maWith my girls in the backGirls in the back YeahI breakTrauma-ma-ma-ma(We them)Trauma-ma-ma-maWith MY WORLD in the back나로 시작되는 DramaDrama-ma-ma-maDrama-ma-ma-ma (3, 2, 1)Drama-ma-maYou know I’ve been kind of like1, 2, 3 깜짝 놀랄 다음 Scene키를 거머쥔주인공은 나4, 3, 2 Going down쉽게 ThroughDeja Vu 같이그려지는 이미지날 굳이 막지 말아이건 내 Drama도발은 굳이 안 막아Uh I’m a stunner1, 2 It’s time to go타오르는 날 (타는 날)느껴 난 And I love it새로워지는 Rules난 눈을 떠 (두 눈을 떠)시작된 걸 (넌) 알아 (Now)It’s comingI bring I bringall the Drama-ma-ma-maI bring Drama-ma-ma-maWith my girls in the backGirls in the backDramaTrauma-ma-ma-maI break Trauma-ma-ma-maWith MY WORLD in the back나로 시작되는 DramaInto the REAL WORLD다가온 Climax두려워하지 마You and I함께 써 내려가는 Story날 가로막았던 No한계를 뛰어 넘어 Every dayOh Imma make it my wayOut of the way YeahI bring I bringall the Drama-ma-ma-maI bring Drama-ma-ma-maWith my girls in the backGirls in the backDramaTrauma-ma-ma-maI break Trauma-ma-ma-maWith MY WORLD in the back나와 함께하는 Drama(All that)You know, I’m savage거침없는 Baddest나를 둘러싼 Thrill거친 여정 속의 Drama(Drama-ma-ma)내가 깨트릴 모든 Trauma(Drama-ma-ma)지금 시작되는 DramaYa Ya 너로 시작될 MY Drama",부정
17,36382580,헤어지자 말해요,박재정,헤어지자고 말하려 오늘너에게 가다가 우리 추억 생각해 봤어처음 본 네 얼굴마주친 눈동자가까스로 본 너의 그 미소들손을 잡고 늘 걷던 거리에첫눈을 보다가 문득 고백했던 그 순간가보고 싶었던 식당난생처음 준비한 선물고맙다는 너의 그 눈물들이바뀔까 봐 두려워그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고시간이 지나고 나면 나는어쩔 수 없을 걸 문득 너의 사진 보겠지새로 사귄 친구 함께웃음 띤 네 얼굴 보면말할 수 없을 묘한 감정들이힘들단 걸 알지만그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고한 번은 널 볼 수 있을까이기적인 거 나도 잘 알아그땐 그럴 수밖에 없던어린 내게 한 번만 더 기회를 주길그댈 정말 사랑했다 말해요나는 사실 그대에게좋은 사람이 되고 싶었어영영 다신 못 본다 해도그댈 위한 이 노래가당신을 영원히 사랑할 테니,긍정
18,37138471,Wife,(여자)아이들,"I cook cream soupTaste is CocorocoWant me as your wife but she isUmm umm ummI clean your roomIt’s so twinkle twinkleWant me as your wife but she isUmm umm umm자기야 한입 크게 맛봐배가 부르대도 뱉으면 나빠좀 더 줄 테니 그만 침 좀 닦아이제 다 큰 거 아니 너네 아빠그래 그럴 줄 알고 케이크 좀 구웠어그게 다가 아냐 위에 체리도 따먹어줘조심스레 키스하고 과감하게 먹어치워어떤지 맛 표현도 들려 보여줘I cook cream soupTaste is CocorocoWant me as your wife but she isUmm umm ummI clean your roomIt’s so twinkle twinkleWant me as your wife but she isUmm umm ummUmm umm ummIt’s a ddub ddub ddub나의 Tongue 살짝 Touch너는 Brr brr brr아 구석구석 깨끗이 닦아놔섬세한 입술에 손길은 안 닿아머리부터 발끝까지 그냥 Chop chop chop배웠으면 이제 너도 한번 올라타봐만약 잘한다면 멋진 노래도 부르고물 만난 인어처럼 예쁜 춤도 춰줄 거야만약에 잘한다면 나도 배도 부르고기분 좋으니까 깊숙이 더 삼켜버릴 거야I cook cream soupTaste is CocorocoWant me as your wife but she isUmm umm ummI clean your roomIt’s so twinkle twinkleWant me as your wife but she isUmm umm ummWife, I make you feel so highI make you feel like lieBut I don’t wannaWife wife wife wifeWife, I make you feel so highI make you feel like lieBut I don’t wanna",부정
19,36502910,모래 알갱이,임영웅,나는 작은 바람에도 흩어질나는 가벼운 모래 알갱이그대 이 모래에 작은 발걸음을 내어요깊게 패이지 않을 만큼 가볍게나는 작은 바람에도 흩어질나는 가벼운 모래 알갱이그대 이 모래에 작은 발자국을 내어요깊게 패이지 않을 만큼 가볍게그대 바람이 불거든그 바람에 실려 홀연히 따라 걸어가요그대 파도가 치거든저 파도에 홀연히 흘러가리그래요 그대여 내 맘에언제라도 그런 발자국을 내어줘요그렇게 편한 숨을 쉬듯이언제든 내 곁에 쉬어가요그대 바람이 불거든그 바람에 실려 홀연히 따라 걸어가요그대 파도가 치거든저 파도에 홀연히 흘러가리그래요 그대여 내 맘에언제라도 그런 발자국을 내어줘요그렇게 편한 숨을 쉬듯이언제든 내 곁에 쉬어가요언제든 내 맘에 쉬어가요,긍정
20,34908740,우리들의 블루스,임영웅,잊지는 말아요 함께 했던 날들눈물이 날 때면그대 뒤를 돌아보면 돼요아프지 말아요 쓸쓸한 마음에힘든 일이 참 많았죠 그대에겐내가 곁에 있을게요그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요그땐 미소 짓겠죠작은 행복까지 모두외롭고 지칠 때 손잡아 줄게요슬픔이 짙어질 때면 위로해 줄그 한 사람이 될게요그대 부디 울지 말아요슬퍼 말아요그대에게 빛이 될게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요폭풍 속에 혼자 남아 헤매도 오길이 되어 지킬게요 그대그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요어두운 길을 밝게 비추는그대의 빛이 될게요,긍정
21,34451383,인사,범진,돌아서는 너를 보며난 아무 말도 할 수 없었고슬퍼하기엔 짧았던나의 해는 저물어 갔네지나치는 모진 기억이바람 따라 흩어질 때면아무 일도 없듯이 보내주려 해아픈 맘이 남지 않도록안녕 멀어지는 나의 하루야빛나지 못한 나의 별들아차마 아껴왔던 말 이제서야잘 지내 인사를 보낼 게떠나가는 너를 보며난 아무 말도 할 수 없었고슬퍼하기엔 짧았던나의 해는 저물어 갔네돌이킬 순 없는 추억이바람 따라 흩어질 때면아무 일도 없듯이 보내주려 해아픈 맘이 남지 않도록안녕 멀어지는 나의 하루야빛나지 못한 나의 별들아차마 아껴왔던 말 이제서야잘 지내 인사를 보낼 게잘 지내 인사를 보낼 게,긍정
